Country,Year,Attack_Type,Target_Industry,Financial_Loss_in_Million_$,Number_of_Affected_Users,Attack_Source,Security_Vulnerability_Type,Defense_Mechanism_Used,Incident_Resolution_Time_in_Hours,loss_per_user,log_affected_users,log_financial_loss,risk_cluster,risk_profile_name
Japan,2015,Phishing,Banking,87.5,429920,Nation-state,Zero-day,Encryption,37,203.52623743952364,12.971356749860755,4.483002552013883,2,High Loss Long Resolution Incidents
UK,2024,DDoS,Retail,14.09,655640,Nation-state,Zero-day,Firewall,61,21.490452077359528,13.393368662029392,2.7140322727797574,1,Low Loss Wide Exposure Incidents
Germany,2019,Man-in-the-Middle,Government,64.8,276197,Unknown,Zero-day,Firewall,2,234.61514788357584,12.528873278801495,4.186619838331271,0,High Loss Fast Resolution Incidents
Russia,2015,Ransomware,IT,41.79,7290,Insider,Weak Passwords,AI-based Detection,32,5732.510288065843,8.89439598980643,3.7563044304287256,3,High Per-User Damage Incidents
Brazil,2017,SQL Injection,Banking,66.78,698892,Unknown,Zero-day,AI-based Detection,24,95.55124396902525,13.457252933676044,4.2162671661789055,0,High Loss Fast Resolution Incidents
Germany,2020,Ransomware,IT,54.65,107180,Nation-state,Zero-day,Antivirus,68,509.88990483299125,11.582274273104215,4.019082077721554,2,High Loss Long Resolution Incidents
USA,2020,Ransomware,Telecommunications,93.89,602474,Unknown,Social Engineering,VPN,71,155.84074997427274,13.308801449710122,4.552718325985667,2,High Loss Long Resolution Incidents
UK,2024,Malware,Education,64.05,116714,Insider,Social Engineering,Encryption,37,548.7773531881351,11.66749034471914,4.1751562049585145,3,High Per-User Damage Incidents
Japan,2016,Malware,Education,8.08,557108,Nation-state,Zero-day,Firewall,17,14.503471499242517,13.230516190967268,2.206074192613202,1,Low Loss Wide Exposure Incidents
India,2015,SQL Injection,Banking,95.81,42883,Unknown,Zero-day,Encryption,37,2234.218688058205,10.66625407497613,4.57275029473198,3,High Per-User Damage Incidents
USA,2015,DDoS,IT,45.91,772018,Hacker Group,Weak Passwords,Encryption,46,59.46752536857949,13.556764440103022,3.8482308723403666,2,High Loss Long Resolution Incidents
Germany,2018,SQL Injection,Banking,81.33,508544,Insider,Unpatched Software,VPN,45,159.9271646111251,13.139308986130471,4.410735561310335,2,High Loss Long Resolution Incidents
Australia,2018,Phishing,Education,24.25,665381,Insider,Unpatched Software,AI-based Detection,61,36.4452847316049,13.408116590802962,3.228826155721369,2,High Loss Long Resolution Incidents
Australia,2021,Ransomware,Banking,24.33,77845,Insider,Social Engineering,AI-based Detection,26,312.54415826321537,11.262487795081473,3.2319894640135836,3,High Per-User Damage Incidents
Australia,2018,Man-in-the-Middle,Healthcare,34.29,943349,Nation-state,Zero-day,Antivirus,5,36.34921964193528,13.757192648639759,3.5635996376871786,0,High Loss Fast Resolution Incidents
France,2017,Phishing,Government,59.64,551515,Unknown,Zero-day,AI-based Detection,37,108.13849124683826,13.220426129040899,4.104954741334116,2,High Loss Long Resolution Incidents
France,2022,Phishing,Banking,69.99,366596,Insider,Weak Passwords,AI-based Detection,65,190.9186134054927,12.812018431048202,4.262539022051294,2,High Loss Long Resolution Incidents
Japan,2024,Man-in-the-Middle,Education,68.35,474131,Insider,Unpatched Software,Firewall,41,144.15847097110293,13.069241042921233,4.239166146760841,2,High Loss Long Resolution Incidents
USA,2016,Phishing,Education,86.3,702702,Hacker Group,Zero-day,Encryption,14,122.81166127319973,13.462689606418365,4.469350462845556,0,High Loss Fast Resolution Incidents
Australia,2023,DDoS,Government,97.18,692900,Unknown,Social Engineering,Encryption,72,140.25111848751624,13.44864241082413,4.586802528629907,2,High Loss Long Resolution Incidents
UK,2023,DDoS,IT,52.75,638329,Hacker Group,Social Engineering,Firewall,11,82.63763670458337,13.366610669983025,3.984343667007772,0,High Loss Fast Resolution Incidents
Germany,2018,DDoS,Telecommunications,15.14,834902,Nation-state,Weak Passwords,Firewall,63,18.13386481287624,13.635070829420336,2.7813006628418027,1,Low Loss Wide Exposure Incidents
Brazil,2024,DDoS,Government,24.23,889448,Hacker Group,Zero-day,VPN,20,27.24161502414981,13.698357448862492,3.2280337626529665,0,High Loss Fast Resolution Incidents
Brazil,2020,Ransomware,IT,56.59,679131,Hacker Group,Weak Passwords,AI-based Detection,55,83.32707533598084,13.428570791181524,4.053348941518581,2,High Loss Long Resolution Incidents
India,2015,DDoS,Retail,39.28,585934,Insider,Unpatched Software,Antivirus,13,67.03826710858219,13.280964140905198,3.6958550678503617,0,High Loss Fast Resolution Incidents
Russia,2020,Phishing,Education,9.52,889970,Nation-state,Unpatched Software,VPN,20,10.696989786172567,13.69894415690778,2.3532782073095637,1,Low Loss Wide Exposure Incidents
Russia,2020,Man-in-the-Middle,Retail,74.11,158758,Nation-state,Zero-day,Antivirus,72,466.81112132931884,11.975142608061342,4.31895370569792,2,High Loss Long Resolution Incidents
France,2024,DDoS,Government,86.65,419571,Nation-state,Zero-day,AI-based Detection,72,206.5204697178785,12.946990423058462,4.473351611367244,2,High Loss Long Resolution Incidents
China,2016,Ransomware,IT,37.22,788555,Insider,Unpatched Software,Encryption,43,47.200258701041776,13.577958703789172,3.643358938812127,2,High Loss Long Resolution Incidents
USA,2020,DDoS,IT,96.08,156275,Insider,Social Engineering,Encryption,24,614.8136298192289,11.959378953755703,4.5755353808584,0,High Loss Fast Resolution Incidents
Russia,2021,DDoS,Retail,79.06,368255,Nation-state,Social Engineering,Encryption,17,214.68819160635974,12.816533627471165,4.382776353564427,0,High Loss Fast Resolution Incidents
China,2019,SQL Injection,Healthcare,79.28,891504,Insider,Zero-day,Firewall,63,88.92837272743589,13.700666324794563,4.385520523928138,2,High Loss Long Resolution Incidents
Germany,2023,Man-in-the-Middle,Healthcare,75.8,943724,Insider,Unpatched Software,AI-based Detection,58,80.32009358668424,13.757590089128279,4.341204640153626,2,High Loss Long Resolution Incidents
USA,2022,Man-in-the-Middle,Retail,75.51,298887,Nation-state,Zero-day,VPN,44,252.63728432484518,12.607824200259685,4.3374214512437606,2,High Loss Long Resolution Incidents
Germany,2017,Ransomware,Retail,68.73,509742,Nation-state,Zero-day,Antivirus,43,134.8329154748873,13.141661956120737,4.244630641232919,2,High Loss Long Resolution Incidents
USA,2022,Phishing,Retail,47.66,20064,Insider,Social Engineering,Encryption,61,2375.3987240829347,9.906732282701016,3.8848573373553763,3,High Per-User Damage Incidents
USA,2020,SQL Injection,Retail,16.98,315050,Unknown,Unpatched Software,Encryption,8,53.89620695127758,12.660489809464513,2.8892600290434745,0,High Loss Fast Resolution Incidents
Brazil,2021,SQL Injection,IT,34.32,673923,Hacker Group,Unpatched Software,Encryption,3,50.92569922676626,13.42087262389268,3.564449375735759,0,High Loss Fast Resolution Incidents
India,2020,Phishing,Telecommunications,30.14,742555,Insider,Zero-day,Firewall,57,40.589585956595805,13.517853567690402,3.4384931664058525,2,High Loss Long Resolution Incidents
India,2021,SQL Injection,Retail,85.69,172469,Insider,Weak Passwords,Antivirus,16,496.84291089992985,12.057978587285445,4.462338536880549,0,High Loss Fast Resolution Incidents
France,2017,SQL Injection,Healthcare,96.08,592364,Insider,Weak Passwords,Antivirus,21,162.1975677117448,13.291878277928836,4.5755353808584,0,High Loss Fast Resolution Incidents
USA,2022,Phishing,Government,92.54,653402,Hacker Group,Social Engineering,Firewall,5,141.62797175398913,13.389949369506795,4.53838915229774,0,High Loss Fast Resolution Incidents
China,2021,SQL Injection,Healthcare,57.2,328454,Nation-state,Zero-day,VPN,10,174.1491959300237,12.702155121221953,4.063885354737392,0,High Loss Fast Resolution Incidents
Japan,2018,Ransomware,Education,82.89,336607,Unknown,Zero-day,AI-based Detection,17,246.25156339588898,12.726674327539001,4.429506416858203,0,High Loss Fast Resolution Incidents
Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2,22.190823078970272,13.564224700703784,2.9047128751668225,0,High Loss Fast Resolution Incidents
China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12,408.20817170770965,11.977049342303571,4.188593573125209,0,High Loss Fast Resolution Incidents
France,2021,Phishing,Retail,13.47,537683,Insider,Unpatched Software,VPN,41,25.05193580604185,13.195026305985317,2.6720775406433925,1,Low Loss Wide Exposure Incidents
Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35,59.77594442738529,13.798880034223645,4.090838422892813,0,High Loss Fast Resolution Incidents
France,2020,DDoS,Telecommunications,66.27,995231,Nation-state,Weak Passwords,Firewall,53,66.58755605482546,13.810731154790949,4.208714372037514,2,High Loss Long Resolution Incidents
Russia,2015,Man-in-the-Middle,IT,95.04,566542,Unknown,Weak Passwords,Firewall,58,167.75455306049685,13.24730826124743,4.564764771353053,2,High Loss Long Resolution Incidents
Japan,2022,DDoS,Healthcare,9.5,387457,Nation-state,Weak Passwords,VPN,61,24.51884983365896,12.867362734804459,2.3513752571634776,1,Low Loss Wide Exposure Incidents
Russia,2023,Malware,IT,47.22,404004,Nation-state,Social Engineering,Encryption,58,116.88003089078326,12.909182533104326,3.875773872753025,2,High Loss Long Resolution Incidents
France,2017,Malware,Telecommunications,96.63,389525,Unknown,Zero-day,Antivirus,32,248.0713689750337,12.872685894311578,4.58118482323758,0,High Loss Fast Resolution Incidents
USA,2023,Malware,Banking,35.91,91974,Hacker Group,Zero-day,AI-based Detection,41,390.4364276860852,11.429272079972975,3.608482517041907,3,High Per-User Damage Incidents
USA,2017,Man-in-the-Middle,Retail,58.98,566242,Nation-state,Social Engineering,VPN,63,104.16041197933039,13.246778593672065,4.094011173320863,2,High Loss Long Resolution Incidents
Japan,2017,Phishing,Telecommunications,89.85,44385,Hacker Group,Weak Passwords,AI-based Detection,18,2024.3325447786415,10.700679383382674,4.50920979484218,3,High Per-User Damage Incidents
UK,2021,Phishing,Banking,44.7,408446,Insider,Social Engineering,VPN,43,109.4391914720673,12.920117441902793,3.822098297900159,2,High Loss Long Resolution Incidents
UK,2015,Man-in-the-Middle,Retail,7.92,657442,Nation-state,Social Engineering,Firewall,29,12.046690050224964,13.396113347260878,2.188295946591918,1,Low Loss Wide Exposure Incidents
Russia,2016,SQL Injection,Government,77.94,538804,Hacker Group,Weak Passwords,VPN,43,144.65371452327747,13.197109003356505,4.368688070234701,2,High Loss Long Resolution Incidents
Brazil,2020,Phishing,Banking,21.65,434936,Hacker Group,Zero-day,Encryption,24,49.77743851969025,12.982956471996086,3.120159851929043,0,High Loss Fast Resolution Incidents
Brazil,2017,Man-in-the-Middle,Healthcare,96.36,596078,Hacker Group,Weak Passwords,Encryption,10,161.6566959357668,13.298128487599037,4.578415448679272,0,High Loss Fast Resolution Incidents
Australia,2021,Malware,IT,84.74,391257,Hacker Group,Zero-day,AI-based Detection,66,216.583984439895,12.877122467911802,4.451319461169831,2,High Loss Long Resolution Incidents
China,2024,Ransomware,Telecommunications,67.47,54722,Nation-state,Social Engineering,Encryption,13,1232.95932166222,10.910039375355025,4.226395693132972,3,High Per-User Damage Incidents
Australia,2021,Man-in-the-Middle,Government,42.24,147589,Insider,Unpatched Software,Antivirus,31,286.2001910711503,11.902193438175821,3.7667659927710075,3,High Per-User Damage Incidents
USA,2018,Phishing,Telecommunications,15.56,734448,Unknown,Social Engineering,Encryption,37,21.185979129904364,13.50687583719556,2.8069901489571136,1,Low Loss Wide Exposure Incidents
France,2023,Phishing,Healthcare,72.54,581712,Insider,Social Engineering,VPN,12,124.70088291113129,13.27373247793863,4.297829475873126,0,High Loss Fast Resolution Incidents
Russia,2019,Man-in-the-Middle,Banking,26.02,565292,Insider,Unpatched Software,Antivirus,27,46.02930874663006,13.245099459781125,3.2965773325320527,0,High Loss Fast Resolution Incidents
France,2015,Malware,Banking,20.27,987350,Insider,Zero-day,Antivirus,4,20.52970071403251,13.802780878297016,3.0572976292121457,0,High Loss Fast Resolution Incidents
France,2023,Ransomware,Government,63.45,90678,Nation-state,Unpatched Software,Firewall,22,699.7287103817905,11.415081076770628,4.165889729385197,3,High Per-User Damage Incidents
Japan,2024,Malware,Telecommunications,71.18,37870,Nation-state,Zero-day,AI-based Detection,31,1879.588064430948,10.541940926673426,4.279162999214643,3,High Per-User Damage Incidents
Australia,2020,DDoS,Retail,31.36,449936,Insider,Weak Passwords,VPN,52,69.69880160733972,13.016862851945588,3.4769230921902907,2,High Loss Long Resolution Incidents
USA,2017,DDoS,Banking,98.07,276199,Insider,Weak Passwords,Antivirus,28,355.0700762855767,12.52888051995733,4.5958266709849385,0,High Loss Fast Resolution Incidents
Brazil,2021,Phishing,Government,42.82,974362,Insider,Unpatched Software,Encryption,70,43.946705639177225,13.789539203131426,3.7800903341673204,2,High Loss Long Resolution Incidents
India,2017,Man-in-the-Middle,IT,68.68,725608,Insider,Zero-day,AI-based Detection,15,94.6516576443479,13.494766581234256,4.243913332544247,0,High Loss Fast Resolution Incidents
Brazil,2024,Malware,IT,83.09,650093,Unknown,Social Engineering,Antivirus,58,127.81248221408322,13.384872246800638,4.431887653844806,2,High Loss Long Resolution Incidents
Australia,2018,DDoS,Healthcare,10.77,910081,Nation-state,Zero-day,VPN,28,11.834111469198895,13.72128998432349,2.4655539212721855,1,Low Loss Wide Exposure Incidents
USA,2024,Phishing,IT,87.42,979700,Hacker Group,Weak Passwords,Firewall,49,89.23139736654078,13.795002702052841,4.482098188398097,2,High Loss Long Resolution Incidents
Brazil,2016,Phishing,Education,97.98,381599,Unknown,Weak Passwords,Encryption,66,256.7616791448615,12.852128218556269,4.59491780952374,2,High Loss Long Resolution Incidents
Australia,2020,Ransomware,Government,25.9,946651,Insider,Unpatched Software,VPN,67,27.359607711817766,13.760686828391515,3.292126286607793,2,High Loss Long Resolution Incidents
Brazil,2015,Malware,Healthcare,23.01,686119,Insider,Weak Passwords,VPN,25,33.53645650390093,13.438807818523761,3.178470410233162,0,High Loss Fast Resolution Incidents
Brazil,2016,Man-in-the-Middle,Retail,14.04,117819,Nation-state,Zero-day,Antivirus,15,119.16583912611718,11.676913315075678,2.7107133185216936,1,Low Loss Wide Exposure Incidents
USA,2018,Ransomware,Healthcare,87.42,80926,Hacker Group,Unpatched Software,Antivirus,19,1080.2461508044387,11.301302792730635,4.482098188398097,3,High Per-User Damage Incidents
USA,2020,DDoS,Government,40.98,191369,Insider,Unpatched Software,Firewall,65,214.14126634930423,12.16196400590411,3.7371933143924867,2,High Loss Long Resolution Incidents
France,2020,DDoS,IT,63.87,821848,Insider,Unpatched Software,Firewall,60,77.71510060254451,13.61931195886688,4.172385267224964,2,High Loss Long Resolution Incidents
UK,2015,Ransomware,Education,44.39,483598,Insider,Zero-day,Antivirus,29,91.79111576143822,13.089011329895989,3.815291816468374,0,High Loss Fast Resolution Incidents
Russia,2018,Man-in-the-Middle,Government,63.82,554294,Unknown,Unpatched Software,AI-based Detection,42,115.13745413084031,13.22545231498114,4.171614197713401,2,High Loss Long Resolution Incidents
China,2020,SQL Injection,Banking,80.98,708357,Unknown,Weak Passwords,Antivirus,49,114.3208862198016,13.470704894595631,4.406475315076191,2,High Loss Long Resolution Incidents
UK,2022,DDoS,IT,93.96,446331,Nation-state,Unpatched Software,AI-based Detection,17,210.5164104666716,13.00881834869678,4.553455750301413,0,High Loss Fast Resolution Incidents
China,2023,DDoS,Healthcare,92.58,974261,Hacker Group,Social Engineering,Firewall,20,95.02587089085984,13.789435540292152,4.5388166854380705,0,High Loss Fast Resolution Incidents
France,2021,Ransomware,Retail,76.83,189999,Hacker Group,Social Engineering,VPN,57,404.3705493186806,12.154779351142624,4.354526960971297,2,High Loss Long Resolution Incidents
Brazil,2024,DDoS,Government,88.79,482307,Hacker Group,Zero-day,Firewall,62,184.09436313385459,13.086338193105895,4.497473610532717,2,High Loss Long Resolution Incidents
China,2015,Man-in-the-Middle,Healthcare,66.13,946668,Hacker Group,Unpatched Software,Encryption,67,69.85553541473884,13.760704786254975,4.20663103795066,2,High Loss Long Resolution Incidents
Japan,2022,Phishing,Telecommunications,33.54,55209,Nation-state,Unpatched Software,VPN,11,607.5096451665489,10.918899375278091,3.5421180727185324,3,High Per-User Damage Incidents
China,2020,DDoS,Healthcare,6.32,682445,Nation-state,Social Engineering,Firewall,20,9.260819553224069,13.433438682031909,1.9906103279732201,1,Low Loss Wide Exposure Incidents
India,2023,Man-in-the-Middle,IT,90.85,985267,Hacker Group,Unpatched Software,Firewall,48,92.20850794759187,13.800668964365117,4.520156811661135,2,High Loss Long Resolution Incidents
Germany,2024,Malware,Telecommunications,70.44,998028,Hacker Group,Unpatched Software,Encryption,59,70.57918214719427,13.813537612987655,4.268857936568244,2,High Loss Long Resolution Incidents
USA,2021,SQL Injection,Telecommunications,89.93,982269,Insider,Unpatched Software,Antivirus,51,91.55333213203308,13.797621498628533,4.510089979737821,2,High Loss Long Resolution Incidents
UK,2020,SQL Injection,IT,87.48,53147,Nation-state,Social Engineering,Antivirus,9,1646.0007149980243,10.880835753711198,4.482776537774025,3,High Per-User Damage Incidents
UK,2018,SQL Injection,Telecommunications,80.96,583514,Hacker Group,Zero-day,VPN,54,138.7455999341918,13.276825437319204,4.406231323370699,2,High Loss Long Resolution Incidents
Germany,2018,SQL Injection,Retail,75.63,814701,Hacker Group,Social Engineering,Antivirus,63,92.83160325076317,13.610577681187092,4.3389886449823125,2,High Loss Long Resolution Incidents
UK,2017,Man-in-the-Middle,Telecommunications,60.01,740448,Hacker Group,Weak Passwords,Encryption,26,81.04552919313713,13.515012037934655,4.111037785163761,0,High Loss Fast Resolution Incidents
Russia,2020,Ransomware,Banking,13.66,820140,Insider,Social Engineering,VPN,63,16.655692930475286,13.617231555678032,2.6851226964585053,1,Low Loss Wide Exposure Incidents
Russia,2024,Phishing,Telecommunications,21.22,446028,Hacker Group,Weak Passwords,VPN,37,47.575488534352104,13.00813925130986,3.100992784211484,1,Low Loss Wide Exposure Incidents
China,2024,SQL Injection,Banking,58.32,777684,Unknown,Zero-day,VPN,31,74.99189902325367,13.564076836853976,4.082946517269732,0,High Loss Fast Resolution Incidents
India,2023,Ransomware,Healthcare,18.26,312340,Nation-state,Zero-day,VPN,35,58.461932509444836,12.651850818675952,2.9580304063699794,1,Low Loss Wide Exposure Incidents
Japan,2016,Ransomware,Healthcare,37.23,209358,Nation-state,Social Engineering,Firewall,25,177.82936405582782,12.251805760731022,3.6436205477083212,0,High Loss Fast Resolution Incidents
Russia,2015,DDoS,Telecommunications,83.28,236346,Insider,Unpatched Software,AI-based Detection,55,352.36475337005913,12.373056343100842,4.434144588935988,2,High Loss Long Resolution Incidents
Germany,2017,Malware,Healthcare,1.68,859708,Nation-state,Weak Passwords,Encryption,10,1.954151874822614,13.664349238875912,0.9858167945227653,1,Low Loss Wide Exposure Incidents
Japan,2024,SQL Injection,Banking,67.37,521384,Unknown,Social Engineering,Antivirus,32,129.21378484955426,13.164244011368057,4.2249341319257026,0,High Loss Fast Resolution Incidents
Brazil,2021,SQL Injection,Retail,1.32,564277,Nation-state,Weak Passwords,Firewall,1,2.3392766318669733,13.243302316842469,0.8415671856782186,1,Low Loss Wide Exposure Incidents
India,2024,Man-in-the-Middle,Telecommunications,93.46,409281,Nation-state,Weak Passwords,Antivirus,18,228.35167036828,12.922159683990856,4.548176464467971,0,High Loss Fast Resolution Incidents
India,2023,Ransomware,Banking,57.15,704230,Nation-state,Zero-day,VPN,71,81.152464393735,13.464861706318946,4.063025878964673,2,High Loss Long Resolution Incidents
India,2017,Malware,Government,61.02,650042,Nation-state,Unpatched Software,Antivirus,48,93.87085757535667,13.384793793529905,4.127456913672303,2,High Loss Long Resolution Incidents
India,2022,Malware,Retail,13.88,813217,Insider,Zero-day,AI-based Detection,71,17.068015056251898,13.60875449526755,2.700018029404946,2,High Loss Long Resolution Incidents
Germany,2023,Man-in-the-Middle,Banking,92.48,1326,Nation-state,Social Engineering,Antivirus,11,69743.58974358975,7.190676034332207,4.537747509670657,3,High Per-User Damage Incidents
Germany,2022,DDoS,Telecommunications,51.95,919855,Hacker Group,Weak Passwords,Antivirus,56,56.47629245913758,13.731972415035287,3.9693480720474157,2,High Loss Long Resolution Incidents
USA,2017,Malware,Education,78.38,516103,Hacker Group,Unpatched Software,Firewall,62,151.8689098881425,13.154063574542747,4.37424644735492,2,High Loss Long Resolution Incidents
USA,2019,Malware,Retail,45.42,969699,Hacker Group,Social Engineering,Firewall,63,46.83927693026393,13.784742024292637,3.837730400846291,2,High Loss Long Resolution Incidents
Russia,2023,Malware,Telecommunications,95,338867,Nation-state,Unpatched Software,AI-based Detection,34,280.34597644503594,12.73336593000333,4.564348191467836,0,High Loss Fast Resolution Incidents
Germany,2015,Phishing,Retail,84.77,779922,Nation-state,Zero-day,Antivirus,50,108.6903562151087,13.56695047584412,4.45166929500233,2,High Loss Long Resolution Incidents
UK,2018,Ransomware,IT,61.42,211305,Hacker Group,Zero-day,Encryption,27,290.6698847637302,12.261062598847,4.133885736842633,0,High Loss Fast Resolution Incidents
India,2015,DDoS,Education,21.74,513867,Unknown,Zero-day,Firewall,34,42.30666690019013,13.149721702117615,3.12412548832239,1,Low Loss Wide Exposure Incidents
USA,2023,Man-in-the-Middle,Retail,81.16,691638,Unknown,Zero-day,Antivirus,17,117.34462247591948,13.446819422178805,4.408668565620303,0,High Loss Fast Resolution Incidents
Brazil,2018,Malware,Banking,17.52,334945,Nation-state,Weak Passwords,Antivirus,33,52.30709519473346,12.7217246037842,2.918851229218033,1,Low Loss Wide Exposure Incidents
USA,2017,Man-in-the-Middle,Banking,59.54,839892,Nation-state,Weak Passwords,Encryption,20,70.8900668181147,13.641029781753472,4.103304303593573,0,High Loss Fast Resolution Incidents
China,2022,SQL Injection,Banking,1.16,297461,Hacker Group,Zero-day,Firewall,15,3.8996708812247656,12.603041764717073,0.7701082216960736,1,Low Loss Wide Exposure Incidents
Russia,2021,SQL Injection,Healthcare,48.71,861410,Unknown,Social Engineering,VPN,7,56.546824392565675,13.666327021430062,3.906206120106581,0,High Loss Fast Resolution Incidents
China,2024,Malware,Government,1.17,281616,Nation-state,Unpatched Software,Encryption,6,4.154593489006307,12.548303270762052,0.7747271675523681,1,Low Loss Wide Exposure Incidents
Brazil,2024,SQL Injection,IT,33.94,88304,Nation-state,Zero-day,Encryption,41,384.35404964667515,11.388552010130471,3.5536323047059106,3,High Per-User Damage Incidents
UK,2022,Man-in-the-Middle,Telecommunications,88.71,191263,Hacker Group,Unpatched Software,Encryption,68,463.8116101912027,12.16140995162398,4.496582245571192,2,High Loss Long Resolution Incidents
China,2019,DDoS,Banking,33.88,761910,Hacker Group,Zero-day,Antivirus,27,44.467194288039266,13.543585029947115,3.551913599040779,0,High Loss Fast Resolution Incidents
USA,2016,DDoS,Education,48.83,231299,Unknown,Unpatched Software,Encryption,58,211.11202383062616,12.351470848219531,3.908617212293313,2,High Loss Long Resolution Incidents
Australia,2023,Phishing,Retail,78.28,92925,Insider,Zero-day,VPN,53,842.3997847726662,11.439558756474243,4.372985890021733,3,High Per-User Damage Incidents
Japan,2020,Phishing,Telecommunications,91.52,846884,Nation-state,Social Engineering,AI-based Detection,42,108.06674822053552,13.64932019109857,4.527424837363238,2,High Loss Long Resolution Incidents
Japan,2017,DDoS,Healthcare,90.38,316136,Hacker Group,Zero-day,VPN,22,285.8896171268062,12.66393094291967,4.515026636135126,0,High Loss Fast Resolution Incidents
Japan,2020,Ransomware,Government,21.92,74407,Unknown,Unpatched Software,Antivirus,48,294.5959385541683,11.217318741922304,3.132009891846539,3,High Per-User Damage Incidents
China,2015,SQL Injection,Healthcare,24.07,950991,Nation-state,Social Engineering,Encryption,49,25.310439320666546,13.765260929294458,3.221671912170202,2,High Loss Long Resolution Incidents
France,2018,SQL Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66,65.08855582088175,13.721191087245598,4.09817056705563,2,High Loss Long Resolution Incidents
India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6,139.22416427305507,12.475370509254367,3.6230067099632284,0,High Loss Fast Resolution Incidents
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34,74.44309437019037,12.41674272554783,2.96424160646262,1,Low Loss Wide Exposure Incidents
USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64,183.87131984480587,12.906962275822028,4.319086834900007,2,High Loss Long Resolution Incidents
USA,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70,525.384642467345,11.640553215341535,4.105778939847764,2,High Loss Long Resolution Incidents
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24,874.3062036445798,10.614450092966075,3.6000482404073204,3,High Per-User Damage Incidents
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63,118.56570104000974,13.247122909506666,4.221857882521061,2,High Loss Long Resolution Incidents
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28,28.774984839418316,13.811507556634457,3.389799336709786,0,High Loss Fast Resolution Incidents
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42,207.57867032573344,12.964698530117213,4.495913200051142,2,High Loss Long Resolution Incidents
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37,108.64456798330109,13.470975907253017,4.356452383554451,2,High Loss Long Resolution Incidents
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32,965.9918621590396,10.591999004691544,3.6752875005944694,3,High Per-User Damage Incidents
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31,141.77638682741056,12.583577140278987,3.7462045207332055,0,High Loss Fast Resolution Incidents
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55,133.87486212874882,13.30350423745012,4.397284637062863,2,High Loss Long Resolution Incidents
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54,67.15744990108071,13.295349830720603,3.711618941083426,2,High Loss Long Resolution Incidents
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63,99.65361244345108,13.59233200603755,4.390986376045354,2,High Loss Long Resolution Incidents
UK,2015,Ransomware,Government,30.74,744505,Nation-state,Unpatched Software,Antivirus,43,41.289178716059666,13.520476190173794,3.457577715098263,2,High Loss Long Resolution Incidents
Australia,2022,DDoS,Telecommunications,86.77,390083,Nation-state,Social Engineering,VPN,72,222.4398397264172,12.874117379529277,4.474719756604026,2,High Loss Long Resolution Incidents
Japan,2017,Phishing,IT,65.62,286208,Hacker Group,Zero-day,Firewall,57,229.2738148479428,12.564477592150936,4.199004832765533,2,High Loss Long Resolution Incidents
Japan,2015,Malware,Healthcare,26.29,808392,Hacker Group,Weak Passwords,AI-based Detection,4,32.52135102771923,13.602803605394449,3.306520334720247,0,High Loss Fast Resolution Incidents
Germany,2021,Ransomware,IT,5.54,254933,Nation-state,Social Engineering,AI-based Detection,41,21.731199962343048,12.448759967110561,1.8779371654691073,1,Low Loss Wide Exposure Incidents
France,2017,Ransomware,Telecommunications,66.36,180698,Hacker Group,Zero-day,Encryption,53,367.24258154489814,12.104587942530696,4.210051369934071,2,High Loss Long Resolution Incidents
Brazil,2015,Ransomware,Healthcare,61.91,961557,Insider,Unpatched Software,Firewall,64,64.38515865414115,13.776310164604544,4.141705133581938,2,High Loss Long Resolution Incidents
Japan,2018,Ransomware,Retail,48,187730,Nation-state,Weak Passwords,AI-based Detection,26,255.68635806743728,12.142765366103347,3.8918202981106265,0,High Loss Fast Resolution Incidents
France,2015,SQL Injection,IT,87.78,6456,Hacker Group,Social Engineering,Firewall,69,13596.654275092937,8.772920092626467,4.486161399405889,3,High Per-User Damage Incidents
